Administrator Id,,Administrator Name,,Employer Id,,Employer,,,New Cards,,,Replacement Cards,,,Total Cards,
BENEFL,,Clarity Benefit Solutions,,BEN1928JC,,1928 Jewelry Co.,,,2,,,1,,,3,
BENEFL,,Clarity Benefit Solutions,,BEN1STCAR,,"First Care of New York, Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN2KAUTO,,2000 Auto Sales Inc.,,,4,,,0,,,4,
BENEFL,,Clarity Benefit Solutions,,BEN3MAS,,"Alitek Solutions, LP",,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BEN3MBTOM,,"B.T. Omne, LLC",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MEWNG,,Ewing & Jones,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BEN3MFBCA,,"Fort Bend Child Advocates, Inc",,,4,,,1,,,5,
BENEFL,,Clarity Benefit Solutions,,BEN3MHRSDR,,"RSDR-RCM, Inc ",,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BEN3MIEP,,"Integrated Equipment, Inc",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MOFS,,OFS International,,,5,,,1,,,6,
BENEFL,,Clarity Benefit Solutions,,BEN3MOPA,,"OPA 1, Ltd",,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BEN3MSXPS,,"Synergen X Physicians Services, PLLC",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MSYNX,,"Synergen X Health Holdings, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MTERM,,Twin Eagle Resource Management,,,4,,,0,,,4,
BENEFL,,Clarity Benefit Solutions,,BEN3MTESC,,"Twin Eagle Service Company, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MTRDP,,Threading & Precision MFG LLC,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BEN5STAR,,"Five Star Home Health Care Agency, Inc.",,,43,,,24,,,67,
BENEFL,,Clarity Benefit Solutions,,BEN713SUM,,Local 713 IBOTU - Summit Home Hlth Care,,,13,,,29,,,42,
BENEFL,,Clarity Benefit Solutions,,BEN9COHEN,,Cohen & Company,,,17,,,0,,,17,
BENEFL,,Clarity Benefit Solutions,,BEN9GUIDF,,"Guidance Residential, LLC",,,3,,,1,,,4,
BENEFL,,Clarity Benefit Solutions,,BEN9KINDR,,"Kinder Academy, Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN9RPROF,,"RP Professional Services, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAABRIN,,AABR Inc.,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAABT,,"Associated Auto Body & Trucks, Inc.",,,0,,,4,,,4,
BENEFL,,Clarity Benefit Solutions,,BENAACRAO,,AACRAO,,,1,,,2,,,3,
BENEFL,,Clarity Benefit Solutions,,BENAANETW,,American Action Network ,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENABCC,,UNIFIED2 GLOBAL PACKAGING GROUP LLC,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENABSUSC,,ABS US Corp,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENACACIA,,"Acacia Financial Group, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENACDS,,"ACDS, Inc.",,,3,,,1,,,4,
