ClientGroupName,ClientName,BillingStartDate,EIN,ClientDivisionName,ClientID,ClientDivisionID,Active,ClientAlternate,DeactivationDate,DivisionName
Brea James--Sterling Bay Account,Four Corners Tavern Group,20150701,342050782,,155,205,Active,BEN9FOURC,,Four Corners Tavern Group
Brea James-Rhone,A Very Special Place,20200101,133005006,,845,1234,Active,BENVSPPLC,,A Very Special Place
Brea James-Rhone,AdTheorent,20171201,454058936,,450,644,Active,BENADTHE,,Ad Ops
Brea James-Rhone,AdTheorent,20171201,454058936,,450,636,Active,BENADTHE,,"AdTheorent, Inc."
Brea James-Rhone,AdTheorent,20171201,454058936,,450,647,Active,BENADTHE,,Baro
Brea James-Rhone,AdTheorent,20171201,454058936,,450,641,Active,BENADTHE,,BI
Brea James-Rhone,AdTheorent,20171201,454058936,,450,1661,Active,BENADTHE,,Corp
Brea James-Rhone,AdTheorent,20171201,454058936,,450,645,Active,BENADTHE,,Creative
Brea James-Rhone,AdTheorent,20171201,454058936,,450,637,Active,BENADTHE,,CS
Brea James-Rhone,AdTheorent,20171201,454058936,,450,651,Active,BENADTHE,,D&A
Brea James-Rhone,AdTheorent,20171201,454058936,,450,1439,Active,BENADTHE,,Direct
Brea James-Rhone,AdTheorent,20171201,454058936,,450,2061,Active,BENADTHE,,DS
Brea James-Rhone,AdTheorent,20171201,454058936,,450,646,Active,BENADTHE,,G&A
Brea James-Rhone,AdTheorent,20171201,454058936,,450,1291,Active,BENADTHE,,ISO
Brea James-Rhone,AdTheorent,20171201,454058936,,450,640,Active,BENADTHE,,Mktg
Brea James-Rhone,AdTheorent,20171201,454058936,,450,1440,Active,BENADTHE,,Partner
Brea James-Rhone,AdTheorent,20171201,454058936,,450,650,Active,BENADTHE,,Product
Brea James-Rhone,AdTheorent,20171201,454058936,,450,1939,Active,BENADTHE,,Rev Ops
Brea James-Rhone,AdTheorent,20171201,454058936,,450,638,Active,BENADTHE,,Sales
Brea James-Rhone,AdTheorent,20171201,454058936,,450,649,Active,BENADTHE,,Strategy
Brea James-Rhone,AdTheorent,20171201,454058936,,450,2136,Active,BENADTHE,,Sym
Brea James-Rhone,AdTheorent,20171201,454058936,,450,639,Active,BENADTHE,,Tech
Brea James-Rhone,AdTheorent,20171201,454058936,,450,648,Active,BENADTHE,,Yield
Brea James-Rhone,Allegheny Cemetery,20210701,250314860,,1197,1992,Active,BENALLEGC,,Allegheny Cemetery
Brea James-Rhone,American Boiler and Mechanical,20210501,431014083,,1156,1934,Active,BEN9AMBAM,,American Boiler and Mechanical
Brea James-Rhone,American Torch Tip Company,20200101,592297860,,831,1212,Active,BENATORCH,,American Torch Tip Company
Brea James-Rhone,"Apache Fabricators, LLC",20180301,471828815,,581,850,Active,BEN9APACH,,"Apache Fabricators, LLC"
Brea James-Rhone,"Area Agency on Aging of Pasco-Pinellas, Inc",20191001,311710636,,766,1123,Active,BENAAAPAS,,"Area Agency on Aging of Pasco-Pinellas, Inc"
Brea James-Rhone,Arnette House,20200601,592119445,,896,1301,Active,BEN9ARNETTE,,Arnette House
Brea James-Rhone,Atelier Ace LLC,20210601,262450575,,1160,1938,Active,BENATACE,,Atelier Ace LLC
Brea James-Rhone,"Auto Haus Body Shop, Inc.",20170701,753030450,,384,556,Active,BEN9AUTOH,,Grafton Collision Center
Brea James-Rhone,"B&T Group Holdings, Inc.",20180401,472588961,,518,750,Active,BEN9BTGRP,,"B&T Group Holdings, Inc."
Brea James-Rhone,Bainbridge Communities Management LLC,20210401,262952811,,1128,1704,Active,BENBCM,,Bainbridge Communities Management LLC
Brea James-Rhone,Bainbridge Communities Management LLC,20210401,262952811,,1128,1707,Active,BENBCM,,CORPORATE
Brea James-Rhone,Bainbridge Communities Management LLC,20210401,262952811,,1128,1706,Active,BENBCM,,STANDARD EMPLOYEE
Brea James-Rhone,"Barcade Holdings, LLC",20201201,471110084,,970,1444,Active,BEN9BHOLD,,"Barcade Holdings, LLC"
Brea James-Rhone,Bayside Housing & Services,20211001,471798297,,1268,2123,Active,BENBAYSID,,Bayside Housing & Services
Brea James-Rhone,"Beckley's Enterprises, Inc.",20210101,521237815,,982,1512,Active,BEN9BECKLY,,"Beckley's Enterprises, Inc."
Brea James-Rhone,Benson Motor Company,20160701,720699180,,243,1165,Active,BEN9BENSO,,Best Chevrolet
Brea James-Rhone,Benson Motor Company,20160701,720699180,,243,1164,Active,BEN9BENSO,,Cadillac of New Orleans
Brea James-Rhone,Benson Motor Company,20160701,720699180,,243,311,Active,BEN9BENSO,,Mercedes Benz of New Orleans
Brea James-Rhone,"Benton's Equipment & Construction, Inc.",20160901,721328375,,261,346,Active,BEN9BENTO,,"Benton's Equipment & Construction, Inc."
Brea James-Rhone,Bilco Wire Rope & Supply Corp,20210801,222355586,,1216,2017,Active,BEN21BILC,,The Bilco Group
Brea James-Rhone,Bilco Wire Rope & Supply Corp,20210801,222355586,,1216,2018,Active,BEN21BILC,,The Ting Company
Brea James-Rhone,Biohabitats Inc.,20210601,521594014,,1190,1985,Active,BENBIOHAB,,Biohabitats Inc.
Brea James-Rhone,Bloom Engineering Company Inc.,20210601,250938174,,1186,1981,Active,BENBLOOMC,,Bloom Engineering Company Inc.
Brea James-Rhone,"BridgePhase, LLC",20201101,261927370,,957,1390,Active,BEN9BRPHS,,"BridgePhase, LLC"
Brea James-Rhone,Brilla College Preparatory Charter Schools,20210701,813081969,,1161,1940,Active,BENBRILLA,,Brilla College Preparatory Charter Schools
Brea James-Rhone,Brother's Brother Foundation,20201001,346562544,,948,1369,Active,BEN9BROBF,,Brother's Brother Foundation
Brea James-Rhone,Brother's Brother Foundation,20201001,346562544,,948,1410,Active,BEN9BROBF,,In Network PA
Brea James-Rhone,Brother's Brother Foundation,20201001,346562544,,948,1411,Active,BEN9BROBF,,Out of Network PA
Brea James-Rhone,Butler Fence Co.,20180101,223858594,,485,692,Active,BENBUTLER,,Butler Fence Co.
Brea James-Rhone,Butts County Board Commissioners,20200701,586012659,,914,1320,Active,BEN9BUTTCT,,Butts County Board Commissioners
Brea James-Rhone,Casa de MD,20210101,531372972,,991,1524,Active,BENCASA,,Casa de MD
Brea James-Rhone,Cerebral Technologies Inc,20210601,261508597,,1180,1969,Active,BENCRTECH,,Cerebral Technologies Inc
Brea James-Rhone,Champion Elevator Corporation,20200201,474285250,,847,1236,Active,BENCHAMPE,,Champion Elevator Corporation
Brea James-Rhone,Cherry Hill Hotel Management LLC,20210701,204632491,,1208,2007,Active,BENCHHM,,Cherry Hill Hotel Management LLC
Brea James-Rhone,Children's Rights Inc.,20180201,133801864,,494,701,Active,BENCRGHTS,,Children's Rights Inc.
Brea James-Rhone,"Chive International, LLC",20190201,901020094,,646,930,Active,BEN9CHIVE,,"Chive International, LLC"
Brea James-Rhone,"Colliers International Houston, Inc",20180101,741282177,,490,697,Active,BENCLLRS,,"Colliers International Houston, Inc"
Brea James-Rhone,Community Realty Management,20190701,222047188,,686,998,Active,BENCOMREA,,Community Realty Management
Brea James-Rhone,Community Treatment Solutions,20170101,223042664,,332,456,Active,BENCTSNJ,,Community Treatment Solutions
Brea James-Rhone,Cool Services Inc,20191201,810649323,,837,1220,Active,BEN9COOLS,,Cool Services Inc
Brea James-Rhone,Data Computer Corporation of America,20210601,521296143,,1195,1990,Active,BENDATACO,,DCCA
Brea James-Rhone,"Deerfield Management Company, L.P. Series C",20160101,30553340,,182,2096,Active,BENDEER,,CURE EXPERIENCE SERVICES (NON-HRA)
Brea James-Rhone,"Deerfield Management Company, L.P. Series C",20160101,30553340,,182,2094,Active,BENDEER,,CURE EXPERIENCE SERVICES LLC
Brea James-Rhone,"Deerfield Management Company, L.P. Series C",20160101,30553340,,182,1285,Active,BENDEER,,"Deerfield Discovery & Development, LLC"
Brea James-Rhone,"Deerfield Management Company, L.P. Series C",20160101,30553340,,182,238,Active,BENDEER,,"DEERFIELD MANAGEMENT COMPANY, L.P. SERIES C"
Brea James-Rhone,"Deerfield Management Company, L.P. Series C",20160101,30553340,,182,2161,Active,BENDEER,,The Deerfield Foundation
Brea James-Rhone,"Deerfield Management Company, L.P. Series C",20160101,30553340,,182,2162,Active,BENDEER,,The Deerfield Foundation (Non-HRA)
Brea James-Rhone,Delaware Valley Concrete Co Inc,20170401,231528490,,359,535,Active,BEN9DELVC,,Aztec Materials LLC
Brea James-Rhone,Delaware Valley Concrete Co Inc,20170401,231528490,,359,507,Active,BEN9DELVC,,DELAWARE VALLEY CONCRETE CO IN
Brea James-Rhone,Delaware Valley Concrete Co Inc,20170401,231528490,,359,534,Active,BEN9DELVC,,Material Delivery Service
Brea James-Rhone,"Dickie Brennan and Co., LLC",20201201,455611579,,960,1434,Active,BEN9DBCNO,,Acorn
Brea James-Rhone,"Dickie Brennan and Co., LLC",20201201,455611579,,960,1432,Active,BEN9DBCNO,,Bourbon House
Brea James-Rhone,"Dickie Brennan and Co., LLC",20201201,455611579,,960,1395,Active,BEN9DBCNO,,"Dickie Brennan and Co., LLC"
Brea James-Rhone,"Dickie Brennan and Co., LLC",20201201,455611579,,960,1431,Active,BEN9DBCNO,,Dickie Brennan Steakhouse
Brea James-Rhone,"Dickie Brennan and Co., LLC",20201201,455611579,,960,1436,Active,BEN9DBCNO,,Palace Café
Brea James-Rhone,"Dickie Brennan and Co., LLC",20201201,455611579,,960,1433,Active,BEN9DBCNO,,Tableau
Brea James-Rhone,"Dickie Brennan and Co., LLC",20201201,455611579,,960,1435,Active,BEN9DBCNO,,The Commissary
Brea James-Rhone,DiRX Inc,20201001,852713842,,958,1391,Active,BENDIRX,,DiRX Inc
Brea James-Rhone,"Downtown Women OB-GYN Associates, LLP",20210601,133431654,,1155,1933,Active,BENDWOBGA,,"Downtown Women OB-GYN Associates, LLP"
Brea James-Rhone,Dr. Shelly David Senders MD Inc,20210101,341554796,,984,1515,Active,BEN9SENDP,,Senders Pediatrics
Brea James-Rhone,"Dress Code NY, Inc",20180201,262996928,,499,721,Active,BENDRCODE,,"Dress Code NY, Inc"
Brea James-Rhone,Durst Corporation Inc,20210701,222958979,,1213,2012,Active,BENDURST,,Durst Corporation Inc
Brea James-Rhone,DVL Group Inc.,20160501,232333687,,228,292,Active,BEN9DVLGR,,DVL Group Inc.
Brea James-Rhone,"Eastern Sign Tech, LLC",20180401,270050904,,521,753,Active,BENESTLLC,,"Eastern Sign Tech, LLC"
Brea James-Rhone,Easton Porter Group LLC,20170401,471751195,,362,586,Active,BEN9EASTO,,4th Street Bistro LLC
Brea James-Rhone,Easton Porter Group LLC,20170401,471751195,,362,584,Active,BEN9EASTO,,Andrews Hospitality LLC
Brea James-Rhone,Easton Porter Group LLC,20170401,471751195,,362,2019,Active,BEN9EASTO,,Andrews Hospitality-Zero George
Brea James-Rhone,Easton Porter Group LLC,20170401,471751195,,362,583,Active,BEN9EASTO,,Cannon Green Charleston
Brea James-Rhone,Easton Porter Group LLC,20170401,471751195,,362,519,Active,BEN9EASTO,,Easton & Porter
Brea James-Rhone,Easton Porter Group LLC,20170401,471751195,,362,587,Active,BEN9EASTO,,Easton Events
Brea James-Rhone,Easton Porter Group LLC,20170401,471751195,,362,585,Active,BEN9EASTO,,Pippin Hill Farm & Vineyards
Brea James-Rhone,Easton Porter Group LLC,20170401,471751195,,362,520,Active,BEN9EASTO,,Virginia Division
