ClientName,DivisionName,ModeOrder,ModeName,Description,Qty
2nd Ave Value Stores,2nd Ave Value Stores,1,Letters,45 Day Notice With No Payment,1
2nd Ave Value Stores,2nd Ave Value Stores,1,Letters,COBRA Specific Rights Notice Letter,8
2nd Ave Value Stores,2nd Ave Value Stores,1,Letters,Enrollment Confirmation Notice,1
2nd Ave Value Stores,2nd Ave Value Stores,1,Letters,Late Payment Reminder,1
2nd Ave Value Stores,2nd Ave Value Stores,2,Inserts,HIPAA Certificate,6
2nd Ave Value Stores,GreenDrop LLC,1,Letters,Insignificant Payment Notice,1
2nd Ave Value Stores,GreenDrop LLC,1,Letters,Late Payment Reminder,1
2nd Ave Value Stores,GreenDrop Trucking LLC,1,Letters,COBRA Specific Rights Notice Letter,3
2nd Ave Value Stores,GreenDrop Trucking LLC,2,Inserts,HIPAA Certificate,2
"3B Inspection Services, LLC","3B Inspection Services, LLC",1,Letters,COBRA General Rights Notice,3
"3B Inspection Services, LLC","3B Inspection Services, LLC",1,Letters,COBRA Specific Rights Notice Letter,6
"3B Inspection Services, LLC","3B Inspection Services, LLC",1,Letters,Late Payment Reminder,2
"3B Inspection Services, LLC","3B Inspection Services, LLC",2,Inserts,HIPAA Certificate,4
A Very Special Place,A Very Special Place,1,Letters,COBRA Specific Rights Notice Letter,2
A Very Special Place,A Very Special Place,1,Letters,Late Payment Reminder,2
"AABR, INC.","AABR, INC.",1,Letters,Conversion Option Notice,2
AACRAO,AACRAO,1,Letters,COBRA Specific Rights Notice Letter,1
AACRAO,AACRAO,2,Inserts,HIPAA Certificate,1
Abas USA Inc.,12879,1,Letters,COBRA Specific Rights Notice Letter,1
Abas USA Inc.,12879,1,Letters,Late Payment Reminder,1
Abas USA Inc.,12879,2,Inserts,HIPAA Certificate,1
Abilities of Northwest Jersey Inc.,Abilities of Northwest Jersey Inc.,1,Letters,Enrollment Confirmation Notice,1
"Able Medical Transportation, Inc.","Able Medical Transportation, Inc.",1,Letters,COBRA General Rights Notice,1
"Able Medical Transportation, Inc.","Able Medical Transportation, Inc.",1,Letters,COBRA Specific Rights Notice Letter,1
Access Management Group LLC,Access Management Group LLC,1,Letters,Late Payment Reminder,1
Ace Hotel New York,Ace Hotel New York,1,Letters,COBRA General Rights Notice,1
Ace Hotel New York,Ace Hotel New York,1,Letters,COBRA Specific Rights Notice Letter,2
Ace Hotel New York,Ace Hotel New York,1,Letters,COBRA Termination Notice,2
Ace Hotel New York,Ace Hotel New York,1,Letters,Late Payment Reminder,4
Ace Hotel New York,Ace Hotel New York,1,Letters,Reinstatement Notice,1
Ace Hotel New York,Ace Hotel New York,2,Inserts,HIPAA Certificate,4
Aceto US LLC,Aceto US LLC,1,Letters,COBRA General Rights Notice,2
Aceto US LLC,Aceto US LLC,1,Letters,Conversion Option Notice,1
Aceto US LLC,Aceto US LLC,1,Letters,Main Address Change Notice To New Address,1
Aceto US LLC,Aceto US LLC,1,Letters,Open Enrollment Reminder,10
Aceto US LLC,Aceto US LLC,1,Letters,QB Open Enrollment Notification,21
"Acme Industries, Inc.","Acme Industries, Inc.",1,Letters,AEI 2021 Subsidy Eligible Notice,4
"Acme Industries, Inc.","Acme Industries, Inc.",1,Letters,COBRA General Rights Notice,2
"Acme Industries, Inc.","Acme Industries, Inc.",1,Letters,Plan Change Notice,1
"Acme Industries, Inc.","Acme Industries, Inc.",1,Letters,Takeover Notice,9
Acordis International,Acordis International,1,Letters,COBRA General Rights Notice,2
ADC Therapeutics,107608,1,Letters,COBRA Specific Rights Notice Letter,3
ADC Therapeutics,107608,1,Letters,Enrollment Confirmation Notice,2
ADC Therapeutics,107608,1,Letters,Late Payment Reminder,1
ADC Therapeutics,107608,1,Letters,Medicare Notice,1
ADC Therapeutics,107608,1,Letters,Partial Payment Notice,2
ADC Therapeutics,107608,1,Letters,Plan Change Notice,12
ADC Therapeutics,107608,2,Inserts,HIPAA Certificate,3
ADC Therapeutics,ADC Therapeutics,1,Letters,Conversion Option Notice,1
ADC Therapeutics,ADC Therapeutics,1,Letters,Late Payment Reminder,1
ADC Therapeutics,ADC Therapeutics,1,Letters,Plan Change Notice,10
"Adopt a Family of The Palm Beaches, Inc. TERM EFF 11/30/2021","Adopt a Family of The Palm Beaches, Inc.",1,Letters,Late Payment Reminder,2
"Adopt a Family of The Palm Beaches, Inc. TERM EFF 11/30/2021","Adopt a Family of The Palm Beaches, Inc.",1,Letters,Plan Change Notice,19
AdTheorent,Corp,1,Letters,COBRA General Rights Notice,1
AdTheorent,Corp,1,Letters,COBRA Specific Rights Notice Letter,1
AdTheorent,Corp,1,Letters,Plan Change Notice,1
AdTheorent,Corp,2,Inserts,HIPAA Certificate,1
AdTheorent,Creative,1,Letters,COBRA Specific Rights Notice Letter,1
AdTheorent,Creative,1,Letters,Partial Payment Notice,2
AdTheorent,Creative,1,Letters,Plan Change Notice,3
AdTheorent,Creative,2,Inserts,HIPAA Certificate,1
AdTheorent,CS,1,Letters,COBRA General Rights Notice,1
AdTheorent,CS,1,Letters,Plan Change Notice,5
AdTheorent,D&A,1,Letters,COBRA Specific Rights Notice Letter,1
AdTheorent,D&A,1,Letters,Plan Change Notice,2
AdTheorent,D&A,2,Inserts,HIPAA Certificate,1
AdTheorent,Direct,1,Letters,Plan Change Notice,1
AdTheorent,DS,1,Letters,Plan Change Notice,1
AdTheorent,Mktg,1,Letters,Plan Change Notice,1
AdTheorent,Partner,1,Letters,Plan Change Notice,1
AdTheorent,Product,1,Letters,COBRA General Rights Notice,2
AdTheorent,Product,1,Letters,Plan Change Notice,2
AdTheorent,Sales,1,Letters,COBRA General Rights Notice,1
AdTheorent,Sales,1,Letters,Late Payment Reminder,1
AdTheorent,Sales,1,Letters,Partial Payment Notice,1
AdTheorent,Sales,1,Letters,Plan Change Notice,12
AdTheorent,Strategy,1,Letters,Plan Change Notice,2
AdTheorent,Sym,1,Letters,Plan Change Notice,1
AdTheorent,Tech,1,Letters,COBRA Specific Rights Notice Letter,1
AdTheorent,Tech,1,Letters,Plan Change Notice,2
AdTheorent,Tech,2,Inserts,HIPAA Certificate,1
AdTheorent,Yield,1,Letters,COBRA General Rights Notice,3
AdTheorent,Yield,1,Letters,Plan Change Notice,2
Advanced Battery Concepts,Advanced Battery Concepts,1,Letters,COBRA General Rights Notice,4
Advanced Battery Concepts,Advanced Battery Concepts,1,Letters,COBRA Specific Rights Notice Letter,1
Advanced Battery Concepts,Advanced Battery Concepts,2,Inserts,HIPAA Certificate,1
"Advanced Solutions International, Inc.","Advanced Solutions International, Inc.",1,Letters,AEI 2021 Subsidy Eligible Notice,7
"Advanced Solutions International, Inc.","Advanced Solutions International, Inc.",1,Letters,Plan Change Notice,1
"Advanced Solutions International, Inc.","Advanced Solutions International, Inc.",1,Letters,Takeover Notice,10
Aeon Process Equipment & Control Sol.,Aeon PEC,1,Letters,Conversion Option Notice,1
Aeon Process Equipment & Control Sol.,Aeon PEC,1,Letters,Late Payment Reminder,1
"Affordable Engineering Services, Inc.","Affordable Engineering Services, Inc.",1,Letters,COBRA Specific Rights Notice Letter,9
"Affordable Engineering Services, Inc.","Affordable Engineering Services, Inc.",1,Letters,Plan Change Notice,50
"Affordable Engineering Services, Inc.","Affordable Engineering Services, Inc.",1,Letters,QB Open Enrollment Notification,52
"Affordable Engineering Services, Inc.","Affordable Engineering Services, Inc.",2,Inserts,HIPAA Certificate,8
"Affordable Engineering Services, Inc.",California Union,1,Letters,COBRA Specific Rights Notice Letter,2
"Affordable Engineering Services, Inc.",California Union,1,Letters,Plan Change Notice,35
"Affordable Engineering Services, Inc.",California Union,1,Letters,QB Open Enrollment Notification,35
"Affordable Engineering Services, Inc.",California Union,2,Inserts,HIPAA Certificate,2
AfterOurs,AfterOurs,1,Letters,COBRA General Rights Notice,2
AfterOurs,AfterOurs,1,Letters,COBRA Specific Rights Notice Letter,2
AfterOurs,AfterOurs,2,Inserts,HIPAA Certificate,2
AG Partners,AG Partners,1,Letters,45 Day Notice With No Payment,1
AG Partners,AG Partners,1,Letters,COBRA Specific Rights Notice Letter,5
AG Partners,AG Partners,1,Letters,COBRA Termination Notice,2
AG Partners,AG Partners,1,Letters,Enrollment Confirmation Notice,1
AG Partners,AG Partners,1,Letters,Late Payment Reminder,2
AG Partners,AG Partners,2,Inserts,HIPAA Certificate,6
Aircraft Precision Products Inc.,Aircraft Precision Products Inc.,1,Letters,COBRA General Rights Notice,1
Airspan Networks Inc.,Airspan networks Inc.,1,Letters,COBRA General Rights Notice,6
Airspan Networks Inc.,Airspan networks Inc.,1,Letters,COBRA Specific Rights Notice Letter,1
Airspan Networks Inc.,Airspan networks Inc.,1,Letters,Plan Change Notice,2
Airspan Networks Inc.,Airspan networks Inc.,1,Letters,QB Open Enrollment Notification,3
Airspan Networks Inc.,Mimosa Networks Inc.,1,Letters,Plan Change Notice,1
Alaskan Brewing Company,Alaskan Brewing Company,1,Letters,COBRA General Rights Notice,1
Alcom Printing,Alcom Printing,1,Letters,COBRA General Rights Notice,4
Alcom Printing,Alcom Printing,1,Letters,COBRA Termination Notice,1
Alcom Printing,Alcom Printing,1,Letters,Late Payment Reminder,1
Alcom Printing,Alcom Printing,1,Letters,Plan Change Notice,15
Alcom Printing,Alcom Printing,1,Letters,QB Open Enrollment Notification,16
Allsouth Sprinkler Co,Allsouth Sprinkler Co,1,Letters,COBRA General Rights Notice,3
"Alpine Learning Group, Inc","Alpine Learning Group, Inc",1,Letters,COBRA General Rights Notice,1
"Alpine Learning Group, Inc","Alpine Learning Group, Inc",1,Letters,COBRA Specific Rights Notice Letter,1
"Alpine Learning Group, Inc","Alpine Learning Group, Inc",1,Letters,Late Payment Reminder,2
"Alpine Learning Group, Inc","Alpine Learning Group, Inc",2,Inserts,HIPAA Certificate,1
ALUDYNE TERM EFF 12/31/2021,ALUDYNE,1,Letters,COBRA General Rights Notice,2
ALUDYNE TERM EFF 12/31/2021,ALUDYNE,1,Letters,COBRA Specific Rights Notice Letter,3
ALUDYNE TERM EFF 12/31/2021,ALUDYNE,1,Letters,Late Payment Reminder,2
ALUDYNE TERM EFF 12/31/2021,ALUDYNE,2,Inserts,HIPAA Certificate,3
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Benton Harbor,1,Letters,COBRA General Rights Notice,5
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Benton Harbor,1,Letters,COBRA Specific Rights Notice Letter,11
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Benton Harbor,1,Letters,Late Payment Reminder,2
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Benton Harbor,2,Inserts,HIPAA Certificate,10
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Stevensville,1,Letters,COBRA General Rights Notice,7
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Stevensville,1,Letters,COBRA Specific Rights Notice Letter,5
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Stevensville,1,Letters,Late Payment Reminder,1
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Stevensville,1,Letters,Partial Payment Notice,1
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Stevensville,1,Letters,QB Premium Coupon Book,1
ALUDYNE TERM EFF 12/31/2021,Alutech LLC/Stevensville,2,Inserts,HIPAA Certificate,5
ALUDYNE TERM EFF 12/31/2021,Automotive Corporation Inc/Batavia,1,Letters,Late Payment Reminder,7
ALUDYNE TERM EFF 12/31/2021,Chassis Corp of Michigan QSSS/2223 Dove St,1,Letters,COBRA General Rights Notice,1
ALUDYNE TERM EFF 12/31/2021,Chassis Corp of Michigan QSSS/2223 Dove St,1,Letters,COBRA Specific Rights Notice Letter,2
ALUDYNE TERM EFF 12/31/2021,Chassis Corp of Michigan QSSS/2223 Dove St,2,Inserts,HIPAA Certificate,2
ALUDYNE TERM EFF 12/31/2021,Chassix Georgia Machinin LLC/Chassix GA Machining,1,Letters,COBRA General Rights Notice,9
ALUDYNE TERM EFF 12/31/2021,Chassix Georgia Machinin LLC/Chassix GA Machining,1,Letters,COBRA Specific Rights Notice Letter,7
ALUDYNE TERM EFF 12/31/2021,Chassix Georgia Machinin LLC/Chassix GA Machining,1,Letters,Late Payment Reminder,2
ALUDYNE TERM EFF 12/31/2021,Chassix Georgia Machinin LLC/Chassix GA Machining,2,Inserts,HIPAA Certificate,7
ALUDYNE TERM EFF 12/31/2021,Diversified Machine Montague Inc/DMI Montague,1,Letters,COBRA General Rights Notice,19
ALUDYNE TERM EFF 12/31/2021,Diversified Machine Montague Inc/DMI Montague,1,Letters,COBRA Specific Rights Notice Letter,11
ALUDYNE TERM EFF 12/31/2021,Diversified Machine Montague Inc/DMI Montague,1,Letters,COBRA Termination Notice,1
ALUDYNE TERM EFF 12/31/2021,Diversified Machine Montague Inc/DMI Montague,1,Letters,Late Payment Reminder,2
ALUDYNE TERM EFF 12/31/2021,Diversified Machine Montague Inc/DMI Montague,1,Letters,QB Premium Coupon Book,1
ALUDYNE TERM EFF 12/31/2021,Diversified Machine Montague Inc/DMI Montague,2,Inserts,HIPAA Certificate,12
ALUDYNE TERM EFF 12/31/2021,Diversified Machine/DMI Howell,1,Letters,COBRA General Rights Notice,6
ALUDYNE TERM EFF 12/31/2021,Diversified Machine/DMI Howell,1,Letters,COBRA Specific Rights Notice Letter,2
ALUDYNE TERM EFF 12/31/2021,Diversified Machine/DMI Howell,1,Letters,Late Payment Reminder,1
ALUDYNE TERM EFF 12/31/2021,Diversified Machine/DMI Howell,1,Letters,QB Premium Coupon Book,1
ALUDYNE TERM EFF 12/31/2021,Diversified Machine/DMI Howell,2,Inserts,HIPAA Certificate,2
ALUDYNE TERM EFF 12/31/2021,DMI Columbus LLC/DMI Columbus,1,Letters,COBRA General Rights Notice,5
ALUDYNE TERM EFF 12/31/2021,DMI Columbus LLC/DMI Columbus,1,Letters,COBRA Specific Rights Notice Letter,6
ALUDYNE TERM EFF 12/31/2021,DMI Columbus LLC/DMI Columbus,1,Letters,Late Payment Reminder,2
ALUDYNE TERM EFF 12/31/2021,DMI Columbus LLC/DMI Columbus,2,Inserts,HIPAA Certificate,5
ALUDYNE TERM EFF 12/31/2021,Grouper Casting LLC,1,Letters,COBRA General Rights Notice,46
ALUDYNE TERM EFF 12/31/2021,Grouper Casting LLC,1,Letters,COBRA Specific Rights Notice Letter,26
ALUDYNE TERM EFF 12/31/2021,Grouper Casting LLC,1,Letters,Enrollment Confirmation Notice,1
ALUDYNE TERM EFF 12/31/2021,Grouper Casting LLC,1,Letters,Late Payment Reminder,1
ALUDYNE TERM EFF 12/31/2021,Grouper Casting LLC,2,Inserts,HIPAA Certificate,24
ALUDYNE TERM EFF 12/31/2021,SMW Automotive Corporation/2347 Dove St,1,Letters,COBRA General Rights Notice,4
ALUDYNE TERM EFF 12/31/2021,SMW Automotive Corporation/3150 Dove St,1,Letters,COBRA General Rights Notice,2
ALUDYNE TERM EFF 12/31/2021,SMW Automotive Corporation/Shelbyville,1,Letters,COBRA Specific Rights Notice Letter,1
ALUDYNE TERM EFF 12/31/2021,SMW Automotive Corporation/Shelbyville,1,Letters,Late Payment Reminder,1
ALUDYNE TERM EFF 12/31/2021,SMW Automotive Corporation/Shelbyville,1,Letters,QB Premium Coupon Book,1
ALUDYNE TERM EFF 12/31/2021,SMW Automotive Corporation/Shelbyville,2,Inserts,HIPAA Certificate,1
ALUDYNE TERM EFF 12/31/2021,SMW Automotive Corporation/Warren Blackstone,1,Letters,Late Payment Reminder,4
"AM-Liner East, Inc.","AM-Liner East, Inc.",1,Letters,COBRA Specific Rights Notice Letter,2
"AM-Liner East, Inc.","AM-Liner East, Inc.",2,Inserts,HIPAA Certificate,2
AMC Fire Protection,AMC Fire Protection,1,Letters,COBRA General Rights Notice,2
AMC Fire Protection,AMC Fire Protection,1,Letters,Open Enrollment Change Notice,2
AMC Fire Protection,AMC Fire Protection,1,Letters,Plan Change Notice,9
AMC Fire Protection,AMC Fire Protection,1,Letters,QB Open Enrollment Notification,2
Amelia Island Equity Club Inc,Amelia Island Equity Club Inc,1,Letters,COBRA General Rights Notice,4
Amelia Island Equity Club Inc,Amelia Island Equity Club Inc,1,Letters,COBRA Specific Rights Notice Letter,1
Amelia Island Equity Club Inc,Amelia Island Equity Club Inc,2,Inserts,HIPAA Certificate,1
American Boiler and Mechanical,American Boiler and Mechanical,1,Letters,COBRA General Rights Notice,3
American Boiler and Mechanical,American Boiler and Mechanical,1,Letters,COBRA Specific Rights Notice Letter,4
American Boiler and Mechanical,American Boiler and Mechanical,1,Letters,Late Payment Reminder,1
American Boiler and Mechanical,American Boiler and Mechanical,2,Inserts,HIPAA Certificate,4
"American Health Associates, Inc","American Health Associates, Inc",1,Letters,COBRA General Rights Notice,7
"American Health Associates, Inc","American Health Associates, Inc",1,Letters,COBRA Specific Rights Notice Letter,11
"American Health Associates, Inc","American Health Associates, Inc",1,Letters,Late Payment Reminder,2
"American Health Associates, Inc","American Health Associates, Inc",2,Inserts,HIPAA Certificate,9
American Torch Tip Company,American Torch Tip Company,1,Letters,COBRA General Rights Notice,3
American Torch Tip Company,American Torch Tip Company,1,Letters,COBRA Termination Notice,1
