TPA,BENEFL,Clarity Benefit Solutions,77 Brant Avenue,Suite 206,Clark,NJ,07066,,,,,
EMP,BENEFL,BEN1623,1623 Studios,640958607,38 Blackburn Center,,Gloucester,MA,01930,erich@1623studios.org,978-281-2443,
PLN,BENEFL,BEN1623,1623 Studios,HRA,HRA,20180401            ,20190331            ,,20190630            ,30,0.00,0.00
PLN,BENEFL,BEN1623,1623 Studios,HRA,HRA,20190401            ,20200331            ,,20200630            ,30,0.00,0.00
PLN,BENEFL,BEN1623,1623 Studios,HRA,HRA,20200401            ,20210331            ,,20210630            ,30,0.00,0.00
EMP,BENEFL,BEN1STCAR,"First Care of New York, Inc.",200757300,"2488 Grand Concourse, Suite 332",,Bronx,NY,10458,mriccobono@1st-care.org,212-600-1640,
PLN,BENEFL,BEN1STCAR,"First Care of New York, Inc.",FSA,MED,20180601            ,20180930            ,,20180930            ,0,0.00,200.00
PLN,BENEFL,BEN1STCAR,"First Care of New York, Inc.",TP3,TRNPRE,20160101            ,20180831            ,,20180831            ,90,0.00,0.00
EMP,BENEFL,BENAEBS,AE Business Solutions,390774170,2323 Crossroads Dr,Suite 300,Madison,WI,53718,jennifer.gmeinder@aebs.com,608-395-2922,
PLN,BENEFL,BENAEBS,AE Business Solutions,DCP,DCA,20150101            ,20151231            ,GRACE,20160415            ,90,0.00,5000.00
PLN,BENEFL,BENAEBS,AE Business Solutions,DCP,DCA,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,5000.00
PLN,BENEFL,BENAEBS,AE Business Solutions,DCP,DCA,20170101            ,20171231            ,GRACE,20180415            ,90,0.00,5000.00
PLN,BENEFL,BENAEBS,AE Business Solutions,DCP,DCA,20180101            ,20181231            ,GRACE,20190415            ,90,0.00,5000.00
PLN,BENEFL,BENAEBS,AE Business Solutions,DCP,DCA,20190101            ,20191231            ,,20191231            ,90,0.00,5000.00
PLN,BENEFL,BENAEBS,AE Business Solutions,FSA,MED,20150101            ,20151231            ,GRACE,20160415            ,90,0.00,2550.00
PLN,BENEFL,BENAEBS,AE Business Solutions,FSA,MED,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,2550.00
PLN,BENEFL,BENAEBS,AE Business Solutions,FSA,MED,20170101            ,20171231            ,GRACE,20180415            ,90,0.00,2600.00
PLN,BENEFL,BENAEBS,AE Business Solutions,FSA,MED,20180101            ,20181231            ,GRACE,20190415            ,90,0.00,2650.00
PLN,BENEFL,BENAEBS,AE Business Solutions,FSA,MED,20190101            ,20191231            ,,20191231            ,90,0.00,2700.00
PLN,BENEFL,BENAEBS,AE Business Solutions,LPF,LPFSA,20150101            ,20151231            ,GRACE,20160415            ,90,0.00,2550.00
PLN,BENEFL,BENAEBS,AE Business Solutions,LPF,LPFSA,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,2550.00
PLN,BENEFL,BENAEBS,AE Business Solutions,LPF,LPFSA,20170101            ,20171231            ,GRACE,20180415            ,90,0.00,2600.00
PLN,BENEFL,BENAEBS,AE Business Solutions,LPF,LPFSA,20180101            ,20181231            ,GRACE,20190415            ,90,0.00,2650.00
PLN,BENEFL,BENAEBS,AE Business Solutions,LPF,LPFSA,20190101            ,20191231            ,,20191231            ,90,0.00,2700.00
PLN,BENEFL,BENAEBS,AE Business Solutions,MF1,FUNDING-FSA,20170901            ,20191231            ,,20191231            ,,0.00,0.00
EMP,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",223514027,198 Route 206 South,,Hillsborough,NJ,08844,jessica@innomfg.com,908-904-1884,
PLN,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",HRA,HRA,20130101            ,20131231            ,,20140331            ,30,2500.00,5000.00
PLN,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",HRA,HRA,20140101            ,20141231            ,,20150331            ,30,2500.00,5000.00
PLN,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",HRA,HRA,20150101            ,20151231            ,,20160331            ,30,2350.00,4700.00
PLN,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",HRA,HRA,20160101            ,20161231            ,,20170331            ,30,2000.00,4700.00
PLN,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",HRA,HRA,20170101            ,20171231            ,,20180331            ,30,2000.00,4700.00
PLN,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",HRA,HRA,20180101            ,20181231            ,,20190331            ,30,2000.00,6000.00
PLN,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",HRA,HRA,20190101            ,20191231            ,,20200331            ,30,2000.00,6000.00
PLN,BENEFL,BENINNMAN,"Innovative Manufacturing, Inc.",HRA,HRA,20200101            ,20201231            ,,20210331            ,30,2000.00,6000.00
EMP,BENEFL,BENINNO,"Innodata, Inc.",133475973,55 Challenger Road,Suite 202,Ridgefield Park,NJ,07660,mnovero@innodata.com,201-371-8015,
PLN,BENEFL,BENINNO,"Innodata, Inc.",DCP,DCA,20140101            ,20141231            ,GRACE,20150415            ,90,0.00,5000.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",DCP,DCA,20150101            ,20151231            ,GRACE,20160415            ,90,0.00,5000.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",DCP,DCA,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,5000.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",DCP,DCA,20170101            ,20171231            ,GRACE,20180430            ,90,0.00,5000.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",DCP,DCA,20180101            ,20181231            ,GRACE,20190430            ,90,0.00,5000.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",DCP,DCA,20190101            ,20191231            ,GRACE,20200430            ,90,0.00,5000.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",DCP,DCA,20200101            ,20201231            ,,20210331            ,90,0.00,5000.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",FSA,MED,20140101            ,20141231            ,GRACE,20150415            ,90,0.00,2550.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",FSA,MED,20150101            ,20151231            ,GRACE,20160415            ,90,0.00,2550.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",FSA,MED,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,2550.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",FSA,MED,20170101            ,20171231            ,GRACE,20180430            ,90,0.00,2600.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",FSA,MED,20180101            ,20181231            ,GRACE,20190430            ,90,0.00,2650.10
PLN,BENEFL,BENINNO,"Innodata, Inc.",FSA,MED,20190101            ,20191231            ,GRACE,20200430            ,90,0.00,2700.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",FSA,MED,20200101            ,20201231            ,,20210331            ,90,0.00,2750.00
PLN,BENEFL,BENINNO,"Innodata, Inc.",RO3,DCA-ROLL,20200101            ,20201231            ,ROLLOVER,20210331            ,90,0.00,0.01
PLN,BENEFL,BENINNO,"Innodata, Inc.",ROL,FSA-ROLL,20200101            ,20201231            ,,20210331            ,90,0.00,0.01
EMP,BENEFL,BENINNOVA,"InnovaSystems, Inc.",223011660,1245 N. Church Street,Unit 6,Moorestown,NJ,08057,mbarron@innovasystems.com,8567220412,
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",DCP,DCA,20180101            ,20181231            ,,20190331            ,90,0.00,5000.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",DCP,DCA,20190101            ,20191231            ,,20200331            ,90,0.00,5000.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",DCP,DCA,20200101            ,20201231            ,,20210331            ,90,0.00,5000.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",FSA,MED,20180101            ,20181231            ,,20190331            ,30,10.00,2650.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",FSA,MED,20190101            ,20191231            ,ROLLOVER,20200331            ,30,10.00,2700.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",FSA,MED,20200101            ,20201231            ,ROLLOVER,20210331            ,30,10.00,2750.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",HRA,HRA,20180601            ,20181231            ,,20190331            ,30,0.00,0.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",HRA,HRA,20190101            ,20191231            ,,20200331            ,30,0.00,0.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",HRA,HRA,20200101            ,20201231            ,,20210331            ,30,0.00,0.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",RO3,DCA-ROLL,20200101            ,20201231            ,,20210331            ,90,0.00,0.01
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",ROL,FSAROL,20180101            ,20181231            ,,20190331            ,90,0.00,500.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",ROL,FSAROL,20190101            ,20191231            ,,20200331            ,90,0.00,500.00
PLN,BENEFL,BENINNOVA,"InnovaSystems, Inc.",ROL,FSAROL,20200101            ,20201231            ,,20210331            ,90,0.00,500.00
EMP,BENEFL,BENINOPAK,"Inopak, Ltd",222952003,24 Executive Parkway,,Ringwood,NJ,07456,bswan@warwick.net,973-962-1121,
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20090401            ,20091231            ,,20100331            ,,,
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20100101            ,20101231            ,,20110331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20110101            ,20111231            ,,20120331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20120101            ,20121231            ,,20130331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20130101            ,20131231            ,,20140331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20140101            ,20141231            ,,20150331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20150101            ,20151231            ,,20160331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20160101            ,20161231            ,,20170331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20170101            ,20171231            ,,20180331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20180101            ,20181231            ,,20190331            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",HRA,HRA,20190101            ,20190425            ,,20190425            ,,0.00,0.00
PLN,BENEFL,BENINOPAK,"Inopak, Ltd",PCC,FUNDING-HRA,20170901            ,20191031            ,,20191031            ,,0.00,0.00
EMP,BENEFL,BENINPMGT,"Apis Services, Inc.",821809627,120 Prospect Street,,Reading,PA,19606,kbadinger@apismgt.org,833-467-6468,
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",DCP,DCA,20190701            ,20200630            ,,20200930            ,90,0.00,5000.00
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",DCP,DCA,20200701            ,20210630            ,ROLLOVER,20210930            ,90,0.00,5000.00
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",FSA,MED,20190701            ,20200630            ,GRACE,20200930            ,90,0.00,2700.00
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",FSA,MED,20200701            ,20210630            ,ROLLOVER,20210930            ,90,0.00,2750.00
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",HRD,HRA,20190701            ,20200630            ,,20200930            ,90,0.00,0.00
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",HRD,HRA,20200701            ,20210630            ,,20210930            ,90,0.00,0.00
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",RO3,DCA-ROLL,20200701            ,20210630            ,,20210930            ,90,0.00,0.01
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",ROL,FSAROLL,20190701            ,20200630            ,GRACE,20200930            ,90,0.00,500.00
PLN,BENEFL,BENINPMGT,"Apis Services, Inc.",ROL,FSAROLL,20200701            ,20210630            ,,20210930            ,90,0.00,500.00
EMP,BENEFL,BENINQIT,InquisIT LLC,422150733,4301 N. Fairfax Dr  Suite 315,,Arlington,VA,22203,mdangelo@inquisitllc.com,703-738-4447,
PLN,BENEFL,BENINQIT,InquisIT LLC,DCP,DCA,20201201            ,20211130            ,,20220228            ,90,0.00,5000.00
PLN,BENEFL,BENINQIT,InquisIT LLC,FSA,MED,20201201            ,20211130            ,,20220228            ,90,0.00,2750.00
PLN,BENEFL,BENINQIT,InquisIT LLC,LPF,LPFSA,20201201            ,20211130            ,,20220228            ,90,0.00,2750.00
PLN,BENEFL,BENINQIT,InquisIT LLC,RO2,LPFROL,20201201            ,20211130            ,GRACE,20220228            ,,0.00,0.01
PLN,BENEFL,BENINQIT,InquisIT LLC,ROL,ROL,20201201            ,20211130            ,GRACE,20220228            ,90,0.00,0.01
EMP,BENEFL,BENINSPR,Inspire,141456248,100 Edberston Road,,Campbell Hall,NY,10916,speach@inspirecp.org,845-614-5975,
PLN,BENEFL,BENINSPR,Inspire,HRA,HRA,20161001            ,20170930            ,,20171231            ,90,0.00,0.00
PLN,BENEFL,BENINSPR,Inspire,HRA,HRA,20171001            ,20180930            ,,20181231            ,90,0.00,0.00
EMP,BENEFL,BENINSTIN,Instinet Group Inc,134134098,Instinet,Worldwide Plaza 309 West 49th Street  ATTN GINA BOWMAN -HR,New York,NY,10019,,212-310-4136,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20050101            ,20051231            ,,20060331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20060101            ,20061231            ,,20070331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20070101            ,20071231            ,,20080331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20080101            ,20081231            ,,20090331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20090101            ,20091231            ,,20100331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20100101            ,20101231            ,,20110331            ,,0.00,0.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20110101            ,20111231            ,,20120331            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20120101            ,20121231            ,,20130331            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20130101            ,20131231            ,,20140331            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20140101            ,20141231            ,,20150331            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20150101            ,20151231            ,,20160331            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20160101            ,20161231            ,,20170331            ,,0.00,5005.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20170101            ,20171231            ,,20180331            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20180101            ,20181231            ,,20190331            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20190101            ,20191231            ,,20200531            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20200101            ,20201231            ,,20210331            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,DCP,DCA,20210101            ,20210102            ,ROLLOVER,20210102            ,,0.00,5000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20050101            ,20051231            ,,20060331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20060101            ,20061231            ,,20070331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20070101            ,20071231            ,,20080331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20080101            ,20081231            ,,20090331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20090101            ,20091231            ,,20100331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20100101            ,20101231            ,,20110331            ,,0.00,0.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20110101            ,20111231            ,,20120331            ,,0.00,3000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20120101            ,20121231            ,,20130331            ,,0.00,3000.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20130101            ,20131231            ,,20140331            ,,0.00,2500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20140101            ,20141231            ,ROLLOVER,20150331            ,,0.00,2500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20150101            ,20151231            ,ROLLOVER,20160331            ,90,0.00,2550.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20160101            ,20161231            ,ROLLOVER,20170331            ,90,0.00,2555.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20170101            ,20171231            ,ROLLOVER,20180331            ,90,0.00,2600.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20180101            ,20181231            ,ROLLOVER,20190331            ,90,0.00,2650.10
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20190101            ,20191231            ,ROLLOVER,20200531            ,90,0.00,2700.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20200101            ,20201231            ,ROLLOVER,20210331            ,90,0.00,2750.00
